0.4706,0.0000,0.5216
0.4749,0.0003,0.5332
0.4791,0.0010,0.5447
0.4831,0.0022,0.5562
0.4869,0.0039,0.5676
0.4905,0.0059,0.5790
0.4939,0.0084,0.5902
0.4971,0.0111,0.6014
0.5001,0.0143,0.6126
0.5028,0.0177,0.6236
0.5052,0.0214,0.6346
0.5074,0.0253,0.6456
0.5093,0.0295,0.6564
0.5108,0.0339,0.6672
0.5121,0.0384,0.6779
0.5130,0.0431,0.6885
0.5135,0.0478,0.6991
0.5137,0.0527,0.7096
0.5136,0.0585,0.7201
0.5133,0.0659,0.7307
0.5129,0.0749,0.7413
0.5122,0.0851,0.7519
0.5115,0.0964,0.7625
0.5105,0.1086,0.7730
0.5095,0.1216,0.7835
0.5083,0.1351,0.7939
0.5070,0.1490,0.8042
0.5057,0.1631,0.8143
0.5042,0.1771,0.8242
0.5027,0.1909,0.8339
0.5011,0.2044,0.8433
0.4994,0.2173,0.8525
0.4977,0.2294,0.8614
0.4960,0.2406,0.8699
0.4942,0.2507,0.8781
0.4922,0.2600,0.8863
0.4897,0.2690,0.8949
0.4869,0.2776,0.9038
0.4837,0.2861,0.9128
0.4801,0.2943,0.9218
0.4763,0.3023,0.9308
0.4723,0.3102,0.9396
0.4681,0.3179,0.9481
0.4638,0.3255,0.9561
0.4594,0.3330,0.9637
0.4549,0.3405,0.9706
0.4504,0.3479,0.9767
0.4460,0.3553,0.9820
0.4416,0.3628,0.9863
0.4374,0.3704,0.9895
0.4334,0.3780,0.9915
0.4296,0.3858,0.9922
0.4260,0.3937,0.9920
0.4224,0.4016,0.9913
0.4188,0.4096,0.9902
0.4153,0.4177,0.9887
0.4119,0.4257,0.9869
0.4084,0.4338,0.9848
0.4050,0.4418,0.9824
0.4015,0.4498,0.9797
0.3981,0.4578,0.9768
0.3946,0.4656,0.9737
0.3911,0.4734,0.9705
0.3876,0.4811,0.9671
0.3840,0.4886,0.9637
0.3804,0.4960,0.9601
0.3767,0.5033,0.9566
0.3729,0.5103,0.9530
0.3691,0.5172,0.9495
0.3652,0.5239,0.9458
0.3612,0.5304,0.9417
0.3571,0.5368,0.9372
0.3530,0.5431,0.9323
0.3488,0.5493,0.9271
0.3445,0.5554,0.9217
0.3403,0.5614,0.9160
0.3359,0.5673,0.9100
0.3316,0.5732,0.9039
0.3272,0.5790,0.8976
0.3228,0.5848,0.8912
0.3184,0.5905,0.8846
0.3140,0.5962,0.8780
0.3095,0.6019,0.8714
0.3051,0.6076,0.8647
0.3007,0.6134,0.8581
0.2963,0.6191,0.8515
0.2917,0.6249,0.8449
0.2865,0.6307,0.8380
0.2811,0.6365,0.8311
0.2753,0.6424,0.8239
0.2694,0.6482,0.8167
0.2634,0.6540,0.8092
0.2575,0.6598,0.8017
0.2516,0.6656,0.7941
0.2460,0.6713,0.7864
0.2407,0.6769,0.7786
0.2357,0.6825,0.7707
0.2313,0.6879,0.7627
0.2274,0.6933,0.7548
0.2243,0.6985,0.7467
0.2219,0.7036,0.7387
0.2204,0.7086,0.7306
0.2199,0.7134,0.7225
0.2202,0.7181,0.7144
0.2211,0.7227,0.7061
0.2224,0.7272,0.6978
0.2242,0.7317,0.6893
0.2264,0.7361,0.6808
0.2290,0.7404,0.6722
0.2318,0.7446,0.6636
0.2349,0.7488,0.6549
0.2382,0.7529,0.6461
0.2415,0.7569,0.6373
0.2450,0.7609,0.6285
0.2485,0.7648,0.6197
0.2519,0.7687,0.6108
0.2553,0.7725,0.6020
0.2585,0.7762,0.5932
0.2615,0.7799,0.5844
0.2643,0.7836,0.5756
0.2669,0.7872,0.5668
0.2695,0.7907,0.5580
